"","Credit_Limit","Income_Category","Customer_Age","Total_Trans_Ct","Months_on_book","Gender","Education_Level","Marital_Status"
"5097",21696,"$60K - $80K",45,76,35,"M","Uneducated","Single"
"5098",2992,"Less than $40K",49,84,39,"F","High School","Married"
"5099",1934,"Less than $40K",38,78,26,"F","Doctorate","Single"
"5100",34516,"$120K +",43,57,31,"M","Uneducated","Married"
"5101",1734,"Less than $40K",42,76,36,"F","Uneducated","Single"
"5102",1438.3,"Less than $40K",42,75,32,"F","Uneducated","Single"
"5104",9673,"$40K - $60K",48,87,44,"M","Uneducated","Single"
"5105",3609,"$40K - $60K",56,81,38,"F","Doctorate","Single"
"5107",6423,"$40K - $60K",39,70,26,"M","Graduate","Single"
"5109",3224,"$40K - $60K",52,74,41,"F","College","Married"
"5110",4135,"Less than $40K",44,56,34,"F","High School","Married"
"5112",8376,"$40K - $60K",41,77,37,"F","College","Single"
"5114",25944,"$80K - $120K",42,76,36,"M","High School","Married"
"5115",1438.3,"$60K - $80K",49,80,29,"M","High School","Married"
"5120",4906,"$40K - $60K",61,71,50,"F","Graduate","Married"
"5121",2687,"Less than $40K",41,76,36,"F","Doctorate","Single"
"5122",4464,"$40K - $60K",40,73,28,"F","High School","Divorced"
"5123",1438.3,"$40K - $60K",51,59,45,"F","Graduate","Single"
"5124",2221,"Less than $40K",34,64,16,"F","College","Married"
"5125",2966,"$60K - $80K",42,83,36,"M","Uneducated","Married"
"5126",1593,"$40K - $60K",38,67,31,"F","High School","Married"
"5127",2450,"Less than $40K",41,64,31,"F","Uneducated","Single"
"5128",1529,"Less than $40K",53,83,42,"F","Graduate","Divorced"
"5129",6274,"$40K - $60K",45,82,36,"F","Graduate","Single"
"5131",2134,"Less than $40K",41,75,27,"F","Graduate","Married"
"5132",17158,"$80K - $120K",50,91,33,"M","College","Married"
"5133",3359,"$40K - $60K",51,81,36,"F","Uneducated","Married"
"5134",11997,"$80K - $120K",47,80,41,"M","Graduate","Married"
"5135",3302,"Less than $40K",41,65,32,"F","Graduate","Married"
"5137",1438.3,"Less than $40K",53,71,43,"F","Post-Graduate","Married"
"5141",13387,"$40K - $60K",46,81,36,"F","Uneducated","Married"
"5142",2283,"Less than $40K",46,68,36,"F","High School","Single"
"5144",2506,"$40K - $60K",49,91,33,"F","High School","Married"
"5145",1438.3,"Less than $40K",47,87,36,"F","Uneducated","Single"
"5147",1438.3,"Less than $40K",54,72,41,"F","Uneducated","Single"
"5148",10873,"$80K - $120K",41,82,35,"M","Graduate","Married"
"5151",10136,"$40K - $60K",42,78,30,"F","High School","Single"
"5152",2187,"Less than $40K",52,61,36,"F","High School","Married"
"5153",3302,"Less than $40K",60,85,48,"F","Uneducated","Single"
"5154",30997,"$80K - $120K",40,81,29,"M","Uneducated","Divorced"
"5155",2578,"Less than $40K",48,78,38,"F","Uneducated","Single"
"5157",3034,"$80K - $120K",48,66,37,"M","Graduate","Single"
"5160",2222,"$40K - $60K",54,79,43,"F","Doctorate","Married"
"5164",2346,"Less than $40K",60,90,55,"F","Graduate","Single"
"5165",26142,"$60K - $80K",51,78,36,"M","Graduate","Married"
"5167",17655,"$80K - $120K",47,79,36,"M","High School","Single"
"5172",2182,"Less than $40K",49,86,36,"F","Uneducated","Single"
"5174",10588,"$80K - $120K",50,84,36,"M","High School","Married"
"5175",2973,"Less than $40K",32,78,16,"F","Post-Graduate","Single"
"5177",2165,"$80K - $120K",40,64,36,"M","Graduate","Married"
"5180",3035,"$60K - $80K",45,67,26,"M","College","Married"
"5182",4602,"Less than $40K",45,66,37,"F","College","Married"
"5185",1438.3,"Less than $40K",47,59,37,"F","Graduate","Single"
"5187",2847,"Less than $40K",51,59,39,"F","Graduate","Single"
"5188",15638,"$80K - $120K",44,83,37,"M","High School","Single"
"5189",10700,"$120K +",43,68,36,"M","Post-Graduate","Married"
"5193",2555,"Less than $40K",42,79,35,"F","Graduate","Single"
"5195",8973,"$60K - $80K",59,72,51,"M","High School","Single"
"5197",4167,"Less than $40K",60,85,41,"F","College","Married"
"5200",1480,"Less than $40K",44,80,27,"F","Graduate","Married"
"5201",5070,"$80K - $120K",56,76,45,"M","High School","Single"
"5204",6054,"$60K - $80K",55,80,44,"M","Graduate","Married"
"5207",2447,"Less than $40K",47,75,37,"F","Graduate","Married"
"5208",3022,"Less than $40K",56,82,47,"F","Uneducated","Married"
"5209",4473,"Less than $40K",44,56,36,"F","Graduate","Married"
"5211",7199,"$80K - $120K",37,100,29,"M","Graduate","Single"
"5212",1438.3,"Less than $40K",49,79,38,"F","Graduate","Married"
"5219",12270,"$80K - $120K",41,67,27,"M","Graduate","Married"
"5220",3006,"Less than $40K",54,66,43,"F","Uneducated","Single"
"5221",7901,"$80K - $120K",39,66,36,"M","Uneducated","Single"
"5222",5983,"$80K - $120K",38,65,29,"M","High School","Single"
"5223",7362,"$40K - $60K",64,65,53,"M","College","Single"
"5224",3046,"$80K - $120K",55,57,36,"M","Doctorate","Single"
"5225",34516,"$120K +",50,75,40,"M","Uneducated","Married"
"5228",3029,"$120K +",55,50,49,"M","High School","Single"
"5230",1438.3,"Less than $40K",51,84,44,"F","Uneducated","Single"
"5233",2618,"$40K - $60K",53,68,43,"F","Post-Graduate","Single"
"5235",2718,"Less than $40K",45,59,36,"M","Graduate","Single"
"5236",2230,"Less than $40K",60,61,51,"F","Graduate","Married"
"5238",2736,"Less than $40K",55,85,43,"F","Uneducated","Married"
"5239",2258,"Less than $40K",51,75,37,"F","High School","Married"
"5242",11882,"$80K - $120K",50,62,31,"M","Graduate","Married"
"5243",1438.3,"Less than $40K",49,88,36,"F","Uneducated","Married"
"5244",1438.3,"Less than $40K",38,73,25,"F","Graduate","Single"
"5245",2778,"Less than $40K",54,74,36,"F","Doctorate","Single"
"5246",2474,"Less than $40K",54,80,42,"F","High School","Married"
"5249",2642,"Less than $40K",43,88,38,"F","Graduate","Single"
"5250",30357,"$80K - $120K",43,68,28,"M","Graduate","Married"
"5251",2201,"Less than $40K",57,70,47,"F","Uneducated","Divorced"
"5255",5182,"$40K - $60K",43,92,24,"F","Post-Graduate","Single"
"5256",3783,"$60K - $80K",49,82,42,"M","Uneducated","Married"
"5257",34516,"$120K +",51,74,40,"M","Uneducated","Married"
"5259",2865,"Less than $40K",56,66,47,"F","High School","Married"
"5260",2711,"$40K - $60K",46,65,34,"F","Graduate","Single"
"5262",13287,"$80K - $120K",51,75,45,"M","High School","Single"
"5263",1438.3,"Less than $40K",33,72,20,"F","Graduate","Married"
"5265",5668,"$60K - $80K",55,56,49,"M","Graduate","Married"
"5267",1959,"Less than $40K",41,61,29,"F","Graduate","Married"
"5270",3927,"Less than $40K",39,93,27,"F","High School","Single"
"5271",4345,"Less than $40K",38,62,26,"F","Uneducated","Married"
"5274",2541,"$60K - $80K",58,82,46,"M","Uneducated","Single"
"5277",26108,"$80K - $120K",58,70,47,"M","College","Single"
"5280",2214,"$40K - $60K",61,77,55,"F","Uneducated","Single"
"5281",11862,"$80K - $120K",51,88,43,"M","College","Single"
"5285",9916,"Less than $40K",26,65,36,"M","Graduate","Married"
"5286",1438.3,"Less than $40K",39,65,29,"F","Graduate","Married"
"5287",6452,"$80K - $120K",38,84,36,"M","College","Married"
"5289",1438.3,"Less than $40K",37,64,36,"F","Uneducated","Married"
"5291",2252,"Less than $40K",53,68,41,"F","High School","Single"
"5292",2370,"Less than $40K",39,79,36,"F","Uneducated","Single"
"5293",2610,"$40K - $60K",56,69,44,"F","High School","Single"
"5297",2918,"Less than $40K",51,61,45,"F","High School","Single"
"5298",2708,"Less than $40K",53,83,36,"F","Graduate","Single"
"5299",3666,"Less than $40K",54,84,36,"F","High School","Married"
"5300",1438.3,"$40K - $60K",36,74,30,"F","High School","Married"
"5303",26303,"$80K - $120K",46,67,31,"M","Graduate","Married"
"5304",15982,"$80K - $120K",56,80,46,"M","Graduate","Single"
"5306",1545,"$40K - $60K",42,62,29,"F","High School","Single"
"5307",1438.3,"Less than $40K",43,85,38,"F","Graduate","Single"
"5309",1451,"Less than $40K",47,72,27,"F","Graduate","Married"
"5311",2340,"Less than $40K",48,83,41,"F","Uneducated","Married"
"5312",1926,"Less than $40K",47,71,34,"F","Graduate","Married"
"5316",4328,"Less than $40K",49,61,36,"F","Uneducated","Single"
"5317",2943,"Less than $40K",51,75,32,"F","High School","Married"
"5319",2419,"Less than $40K",43,63,37,"F","Graduate","Single"
"5320",5481,"$40K - $60K",49,73,38,"F","Graduate","Married"
"5326",1438.3,"Less than $40K",46,86,41,"F","High School","Married"
"5329",2801,"$60K - $80K",52,90,36,"M","Graduate","Single"
"5331",2933,"Less than $40K",35,71,31,"F","College","Married"
"5332",21630,"$80K - $120K",45,84,36,"M","Graduate","Married"
"5334",2961,"$40K - $60K",50,92,43,"F","High School","Married"
"5337",12229,"$60K - $80K",44,75,36,"M","College","Married"
"5338",2272,"Less than $40K",35,75,21,"F","Graduate","Married"
"5339",6953,"$120K +",42,80,37,"M","Uneducated","Married"
"5340",1792,"$40K - $60K",48,78,37,"F","College","Married"
"5341",2765,"Less than $40K",47,80,36,"F","Doctorate","Single"
"5343",6904,"Less than $40K",39,84,34,"F","Uneducated","Single"
"5345",1495,"Less than $40K",48,63,34,"F","High School","Married"
"5349",1531,"$40K - $60K",43,77,36,"F","College","Single"
"5350",2884,"Less than $40K",50,93,32,"F","Graduate","Married"
"5352",4182,"$40K - $60K",50,82,38,"F","Post-Graduate","Single"
"5354",4542,"Less than $40K",54,70,36,"F","Uneducated","Single"
"5355",3372,"Less than $40K",40,72,22,"F","College","Single"
"5356",3099,"$60K - $80K",40,75,36,"M","Graduate","Divorced"
"5358",5299,"Less than $40K",52,79,48,"F","Uneducated","Married"
"5359",2138,"Less than $40K",41,85,35,"F","Graduate","Single"
"5362",2690,"$40K - $60K",48,81,32,"F","Uneducated","Married"
"5365",8376,"$80K - $120K",41,67,35,"M","High School","Married"
"5367",2396,"Less than $40K",38,74,36,"F","Graduate","Married"
"5368",18964,"$80K - $120K",50,78,36,"M","Doctorate","Married"
"5369",2114,"Less than $40K",40,88,30,"F","Graduate","Married"
"5370",1623,"Less than $40K",39,65,36,"F","Uneducated","Single"
"5371",2579,"Less than $40K",40,69,30,"F","High School","Divorced"
"5374",2866,"$40K - $60K",48,72,43,"F","Uneducated","Married"
"5376",4370,"$60K - $80K",55,74,36,"M","Doctorate","Married"
"5378",5070,"$40K - $60K",43,67,38,"F","High School","Single"
"5379",2572,"Less than $40K",35,85,36,"F","Graduate","Married"
"5380",2016,"Less than $40K",40,78,31,"F","Graduate","Single"
"5384",3871,"$40K - $60K",48,58,36,"F","High School","Single"
"5387",1773,"Less than $40K",53,74,39,"F","Uneducated","Single"
"5388",2029,"Less than $40K",42,86,28,"F","Uneducated","Divorced"
"5390",2941,"$40K - $60K",56,87,48,"F","Uneducated","Single"
"5393",6248,"$80K - $120K",57,60,36,"M","Graduate","Married"
"5394",2430,"$40K - $60K",40,75,35,"M","High School","Divorced"
"5396",2470,"$40K - $60K",42,82,37,"F","Graduate","Married"
"5397",3255,"$40K - $60K",49,62,39,"F","Doctorate","Single"
"5401",2351,"Less than $40K",43,71,30,"F","Graduate","Divorced"
"5402",4202,"Less than $40K",45,78,36,"F","Graduate","Married"
"5403",4712,"Less than $40K",40,82,36,"F","High School","Married"
"5404",2611,"$80K - $120K",53,56,36,"M","Uneducated","Single"
"5406",5245,"Less than $40K",39,74,36,"F","High School","Single"
"5407",2583,"$60K - $80K",39,87,27,"M","High School","Married"
"5409",7464,"$120K +",40,62,36,"M","Post-Graduate","Married"
"5411",9863,"Less than $40K",46,58,34,"F","Graduate","Divorced"
"5413",1438.3,"Less than $40K",44,80,38,"F","Uneducated","Single"
"5417",2448,"Less than $40K",37,81,22,"F","High School","Single"
"5420",2293,"$40K - $60K",53,74,42,"F","Uneducated","Married"
"5421",1438.3,"$60K - $80K",52,82,40,"M","Uneducated","Single"
"5423",1702,"$60K - $80K",37,86,31,"M","Doctorate","Single"
"5427",3272,"$40K - $60K",39,86,36,"F","Uneducated","Married"
"5429",2708,"Less than $40K",40,90,26,"F","Uneducated","Married"
"5430",1738,"Less than $40K",41,68,31,"F","Doctorate","Single"
"5432",1640,"Less than $40K",45,77,36,"F","High School","Married"
"5439",7116,"$120K +",50,85,23,"M","Uneducated","Married"
"5441",2082,"Less than $40K",54,75,43,"F","High School","Single"
"5443",5626,"$60K - $80K",50,84,46,"M","High School","Single"
"5448",2427,"Less than $40K",52,69,32,"F","High School","Divorced"
"5449",3011,"$40K - $60K",55,75,48,"F","Uneducated","Married"
"5452",7492,"Less than $40K",41,67,37,"F","Graduate","Divorced"
"5454",1744,"Less than $40K",38,86,28,"F","High School","Single"
"5456",2573,"$40K - $60K",37,81,24,"F","Graduate","Single"
"5460",34516,"$60K - $80K",49,73,36,"M","College","Single"
"5462",1789,"Less than $40K",47,90,40,"F","College","Single"
"5464",3272,"$40K - $60K",51,74,45,"M","College","Single"
"5465",2382,"Less than $40K",33,68,26,"F","Graduate","Single"
"5466",1981,"$80K - $120K",52,61,36,"M","Post-Graduate","Married"
"5467",22294,"$120K +",51,71,45,"M","Post-Graduate","Single"
"5468",2574,"Less than $40K",49,62,43,"F","High School","Married"
"5469",2112,"Less than $40K",30,78,20,"F","High School","Single"
"5472",3044,"Less than $40K",42,85,28,"F","College","Single"
"5473",2721,"$40K - $60K",57,81,45,"M","High School","Married"
"5475",5033,"$80K - $120K",48,82,31,"M","College","Single"
"5477",2325,"Less than $40K",43,83,36,"F","High School","Single"
"5478",2758,"Less than $40K",60,74,42,"F","Doctorate","Single"
"5479",9705,"$80K - $120K",45,34,34,"M","Graduate","Married"
"5480",2685,"Less than $40K",41,94,31,"F","High School","Married"
"5481",2694,"Less than $40K",60,71,54,"F","College","Single"
"5485",2648,"$60K - $80K",48,74,36,"M","Post-Graduate","Divorced"
"5486",2477,"$40K - $60K",44,69,33,"M","Graduate","Single"
"5488",34516,"$80K - $120K",42,62,32,"M","High School","Single"
"5489",2479,"Less than $40K",46,86,30,"F","Uneducated","Married"
"5494",7398,"Less than $40K",50,73,38,"F","Graduate","Single"
"5495",34516,"$80K - $120K",51,80,38,"M","High School","Single"
"5497",3042,"Less than $40K",51,79,25,"F","College","Married"
"5498",2688,"Less than $40K",60,71,36,"F","High School","Single"
"5500",4902,"$40K - $60K",43,69,36,"F","High School","Single"
"5502",5069,"$40K - $60K",48,66,34,"F","Doctorate","Married"
"5505",2800,"$40K - $60K",50,90,41,"M","College","Single"
"5507",2713,"$60K - $80K",56,67,36,"M","High School","Married"
"5509",1746,"$40K - $60K",47,75,39,"F","High School","Single"
"5510",2930,"$80K - $120K",49,75,41,"M","Uneducated","Single"
"5511",2178,"Less than $40K",47,76,36,"F","Graduate","Married"
"5513",2021,"Less than $40K",42,97,34,"F","Post-Graduate","Married"
"5515",18284,"$120K +",49,92,29,"M","Graduate","Single"
"5516",34516,"$80K - $120K",41,71,33,"M","Uneducated","Married"
"5519",1793,"Less than $40K",52,62,37,"F","Graduate","Married"
"5520",5731,"$40K - $60K",52,85,44,"F","High School","Married"
"5522",1438.3,"$40K - $60K",48,76,37,"F","College","Single"
"5523",21800,"$60K - $80K",51,62,40,"M","Uneducated","Single"
"5525",1485,"Less than $40K",46,65,38,"F","Graduate","Married"
"5526",2505,"$40K - $60K",44,77,38,"M","Graduate","Married"
"5529",3307,"$60K - $80K",48,68,30,"M","College","Single"
"5533",13362,"$60K - $80K",45,79,34,"M","Graduate","Single"
"5534",2431,"Less than $40K",33,74,17,"F","Graduate","Single"
"5535",6034,"$40K - $60K",43,67,34,"F","High School","Divorced"
"5537",1963,"$40K - $60K",47,59,34,"F","High School","Single"
"5539",2922,"Less than $40K",45,70,40,"F","Uneducated","Married"
"5540",6943,"$40K - $60K",50,80,45,"M","College","Single"
"5544",1438.3,"Less than $40K",51,64,42,"F","Doctorate","Married"
"5545",2383,"Less than $40K",53,78,43,"F","Uneducated","Divorced"
"5546",1677,"Less than $40K",55,68,45,"F","Graduate","Married"
"5553",1787,"Less than $40K",46,79,36,"F","High School","Single"
"5555",1438.3,"Less than $40K",47,87,36,"F","College","Married"
"5556",3525,"$40K - $60K",50,62,43,"M","Post-Graduate","Divorced"
"5559",27378,"$120K +",46,78,30,"M","College","Single"
"5561",7862,"Less than $40K",49,82,38,"M","College","Single"
"5562",4284,"$60K - $80K",47,85,36,"M","College","Married"
"5564",1438.3,"Less than $40K",55,93,49,"F","Uneducated","Divorced"
"5565",21805,"$60K - $80K",62,79,49,"M","Graduate","Single"
"5566",4712,"$60K - $80K",55,66,36,"M","Uneducated","Single"
"5568",2264,"$40K - $60K",41,83,26,"F","Uneducated","Single"
"5575",2919,"$40K - $60K",45,72,35,"F","High School","Married"
"5577",6125,"$40K - $60K",44,68,29,"M","Graduate","Single"
"5580",21543,"$80K - $120K",51,82,45,"M","College","Married"
"5581",6355,"$120K +",52,74,47,"M","College","Married"
"5582",5616,"Less than $40K",52,62,41,"F","High School","Married"
"5584",2836,"$60K - $80K",38,83,36,"M","College","Married"
"5585",1438.3,"$40K - $60K",50,82,45,"F","High School","Married"
"5587",14951,"$60K - $80K",48,68,40,"M","Graduate","Single"
"5592",2172,"Less than $40K",53,82,43,"F","Graduate","Single"
"5594",3390,"Less than $40K",53,78,35,"F","Graduate","Married"
"5595",2193,"Less than $40K",47,81,36,"F","Doctorate","Single"
"5597",2801,"Less than $40K",40,83,20,"F","College","Single"
"5598",11186,"$60K - $80K",43,84,31,"M","Post-Graduate","Single"
"5599",2434,"Less than $40K",50,76,39,"F","Graduate","Single"
"5601",2716,"Less than $40K",59,69,53,"F","High School","Single"
"5604",18776,"$60K - $80K",56,75,36,"M","Graduate","Single"
"5607",2472,"$40K - $60K",34,86,28,"F","Graduate","Single"
"5609",1438.3,"$40K - $60K",39,53,29,"F","College","Married"
"5610",3189,"Less than $40K",47,76,37,"F","Graduate","Married"
"5611",2092,"Less than $40K",47,70,41,"F","Uneducated","Single"
"5612",2946,"$40K - $60K",37,89,26,"F","High School","Married"
"5614",4143,"Less than $40K",50,74,36,"F","Graduate","Married"
"5622",3304,"Less than $40K",38,79,29,"F","Graduate","Married"
"5623",3125,"Less than $40K",40,68,30,"F","Doctorate","Married"
"5624",1438.3,"Less than $40K",51,84,40,"F","Doctorate","Single"
"5625",2491,"$80K - $120K",41,35,28,"M","Graduate","Single"
"5628",1938,"Less than $40K",38,75,22,"F","Graduate","Single"
"5629",3188,"Less than $40K",42,83,36,"F","Post-Graduate","Married"
"5630",2288,"Less than $40K",44,68,29,"F","High School","Single"
"5635",12882,"$80K - $120K",48,84,42,"M","Graduate","Married"
"5639",3228,"Less than $40K",44,70,31,"F","College","Single"
"5640",2303,"$40K - $60K",43,80,35,"F","Graduate","Single"
"5643",2873,"$40K - $60K",55,72,42,"F","High School","Single"
"5644",28253,"$80K - $120K",50,67,36,"M","Post-Graduate","Married"
"5646",1630,"$80K - $120K",33,91,23,"M","High School","Married"
"5650",2836,"Less than $40K",56,90,36,"F","Graduate","Single"
"5652",1605,"Less than $40K",48,67,38,"F","Graduate","Single"
"5654",2747,"Less than $40K",55,84,36,"F","High School","Married"
"5655",2501,"$60K - $80K",49,87,39,"M","College","Married"
"5656",2563,"Less than $40K",64,84,52,"M","Graduate","Single"
"5659",3426,"Less than $40K",60,69,50,"F","College","Divorced"
"5666",4476,"Less than $40K",49,87,36,"F","High School","Married"
"5668",11502,"$80K - $120K",40,85,21,"M","High School","Married"
"5670",16199,"$120K +",39,82,28,"M","Graduate","Single"
"5671",1452,"$80K - $120K",43,72,34,"M","Uneducated","Divorced"
"5675",4430,"Less than $40K",53,82,46,"F","Graduate","Married"
"5676",2919,"Less than $40K",49,75,35,"F","Graduate","Married"
"5677",2796,"Less than $40K",49,78,39,"F","Graduate","Married"
"5679",2834,"$60K - $80K",43,70,31,"M","High School","Single"
"5681",1522,"Less than $40K",48,77,41,"F","Graduate","Single"
"5686",8795,"Less than $40K",48,74,36,"M","College","Married"
"5688",2715,"Less than $40K",34,68,20,"F","College","Single"
"5690",2097,"Less than $40K",44,79,36,"F","Uneducated","Single"
"5691",3028,"Less than $40K",41,78,30,"F","Graduate","Single"
"5692",1695,"Less than $40K",34,91,22,"F","College","Single"
"5694",1438.3,"Less than $40K",37,76,28,"F","Graduate","Single"
"5698",1964,"Less than $40K",36,60,36,"F","College","Single"
"5699",1904,"Less than $40K",53,85,44,"F","High School","Single"
"5700",2933,"$40K - $60K",46,92,26,"F","Graduate","Married"
"5702",34516,"$80K - $120K",47,67,36,"M","Graduate","Married"
"5703",2421,"Less than $40K",52,69,44,"F","Graduate","Married"
"5704",2406,"Less than $40K",44,91,34,"F","Doctorate","Divorced"
"5705",2621,"$40K - $60K",51,74,37,"F","High School","Single"
"5708",3375,"$40K - $60K",37,64,24,"F","Graduate","Single"
"5711",17656,"$60K - $80K",47,71,36,"M","Uneducated","Single"
"5713",3942,"Less than $40K",46,71,33,"F","High School","Single"
"5714",1771,"Less than $40K",57,84,36,"F","Graduate","Single"
"5716",20958,"$120K +",50,78,43,"M","Graduate","Married"
"5717",4117,"Less than $40K",53,88,46,"F","Graduate","Single"
"5718",18524,"$40K - $60K",43,64,39,"F","Graduate","Single"
"5719",2222,"Less than $40K",36,88,26,"M","Post-Graduate","Married"
"5720",3119,"Less than $40K",56,63,46,"F","College","Married"
"5721",1611,"$40K - $60K",46,78,34,"M","College","Married"
"5724",2442,"$40K - $60K",52,85,46,"F","Graduate","Married"
"5726",1438.3,"Less than $40K",40,78,27,"F","High School","Single"
"5727",14958,"$60K - $80K",42,68,35,"M","Graduate","Single"
"5729",1625,"Less than $40K",40,73,30,"F","Uneducated","Single"
"5730",3007,"Less than $40K",49,67,36,"F","Post-Graduate","Married"
"5734",1848,"$40K - $60K",60,75,54,"M","Graduate","Single"
"5736",1438.3,"$80K - $120K",46,71,36,"M","High School","Single"
"5737",2202,"Less than $40K",45,77,39,"F","Uneducated","Single"
"5738",3591,"$60K - $80K",42,80,36,"M","Graduate","Married"
"5741",9025,"$120K +",53,87,44,"M","High School","Married"
"5742",11627,"$40K - $60K",44,67,28,"M","Uneducated","Single"
"5745",1438.3,"Less than $40K",37,84,36,"F","High School","Single"
"5746",4976,"Less than $40K",43,69,33,"F","High School","Single"
"5748",14370,"$60K - $80K",44,79,40,"M","High School","Single"
"5749",21681,"$40K - $60K",60,75,49,"M","High School","Single"
"5750",2634,"$40K - $60K",59,71,40,"F","Post-Graduate","Single"
"5751",2204,"$40K - $60K",37,82,27,"F","High School","Single"
"5756",3136,"Less than $40K",52,81,48,"F","High School","Married"
"5757",4478,"Less than $40K",42,76,35,"F","High School","Married"
"5759",13090,"$40K - $60K",52,78,46,"M","Graduate","Single"
"5760",6849,"$40K - $60K",44,82,35,"F","High School","Married"
"5761",4228,"Less than $40K",36,74,36,"F","Uneducated","Married"
"5762",5678,"$40K - $60K",49,70,36,"F","Graduate","Married"
"5763",3964,"Less than $40K",42,75,31,"F","High School","Married"
"5770",3174,"$40K - $60K",32,83,26,"F","Post-Graduate","Married"
"5771",1438.3,"Less than $40K",34,74,36,"F","Uneducated","Single"
"5772",1852,"Less than $40K",46,61,31,"F","College","Divorced"
"5774",3503,"$40K - $60K",48,93,38,"F","Graduate","Divorced"
"5775",17835,"$40K - $60K",52,58,39,"M","Doctorate","Single"
"5776",3383,"$120K +",45,75,36,"M","Uneducated","Married"
"5778",1438.3,"Less than $40K",36,59,22,"F","Graduate","Married"
"5779",3815,"Less than $40K",42,94,33,"F","High School","Married"
"5780",1902,"Less than $40K",39,69,27,"F","Graduate","Married"
"5781",2077,"Less than $40K",43,75,36,"F","Uneducated","Divorced"
"5783",34516,"$80K - $120K",56,82,40,"M","High School","Single"
"5784",2144,"Less than $40K",45,55,38,"F","Graduate","Single"
"5785",5951,"Less than $40K",65,83,56,"F","High School","Single"
"5788",2799,"$40K - $60K",53,88,47,"F","Graduate","Married"
"5790",2560,"Less than $40K",49,86,34,"F","Graduate","Married"
"5791",5821,"Less than $40K",42,70,36,"F","Uneducated","Married"
"5792",2057,"Less than $40K",43,76,36,"F","Uneducated","Single"
"5793",1972,"Less than $40K",49,66,42,"F","High School","Divorced"
"5794",2675,"$60K - $80K",44,79,36,"M","High School","Married"
"5795",6223,"$40K - $60K",48,79,33,"M","Graduate","Married"
"5798",34516,"$60K - $80K",46,53,29,"M","High School","Single"
"5799",3054,"$40K - $60K",49,88,43,"F","High School","Divorced"
"5800",1438.3,"Less than $40K",35,72,30,"F","Doctorate","Single"
"5804",1601,"Less than $40K",60,69,36,"F","Uneducated","Married"
"5805",34516,"$80K - $120K",45,64,36,"M","High School","Married"
"5806",1822,"Less than $40K",51,73,43,"F","High School","Married"
"5807",1614,"Less than $40K",41,87,30,"M","High School","Married"
"5809",2543,"Less than $40K",28,64,23,"F","Graduate","Divorced"
"5810",3462,"Less than $40K",50,65,36,"F","College","Divorced"
"5811",1699,"Less than $40K",44,87,36,"F","Graduate","Married"
"5814",4429,"$60K - $80K",48,63,42,"M","Uneducated","Married"
"5816",2418,"$40K - $60K",65,74,53,"F","High School","Single"
"5817",2086,"Less than $40K",56,84,47,"F","Graduate","Single"
"5819",7564,"$40K - $60K",43,82,31,"M","Graduate","Single"
"5820",13116,"$60K - $80K",41,61,31,"M","Graduate","Married"
"5821",1438.3,"Less than $40K",35,80,36,"F","Doctorate","Married"
"5822",3716,"Less than $40K",48,73,36,"F","High School","Married"
"5825",2948,"$40K - $60K",45,79,36,"F","High School","Married"
"5827",1438.3,"Less than $40K",35,83,36,"F","Uneducated","Married"
"5828",4669,"$40K - $60K",58,73,46,"F","Graduate","Married"
"5829",13994,"Less than $40K",48,63,35,"F","Graduate","Married"
"5831",1688,"Less than $40K",53,69,36,"F","High School","Married"
"5833",4534,"$60K - $80K",39,66,26,"M","Graduate","Single"
"5834",3545,"Less than $40K",57,69,51,"F","Uneducated","Single"
"5835",1857,"Less than $40K",57,71,49,"F","College","Single"
"5838",1438.3,"Less than $40K",41,66,37,"F","College","Married"
"5840",9357,"$60K - $80K",52,77,46,"M","Graduate","Single"
"5841",2423,"Less than $40K",40,80,36,"F","Graduate","Married"
"5842",1936,"$40K - $60K",45,80,36,"F","Graduate","Single"
"5843",1783,"$60K - $80K",43,81,25,"M","Graduate","Divorced"
"5845",1438.3,"Less than $40K",56,84,46,"F","Graduate","Single"
"5846",10580,"Less than $40K",44,81,36,"F","Post-Graduate","Married"
"5848",1656,"Less than $40K",49,79,44,"F","High School","Married"
"5849",3279,"Less than $40K",39,75,23,"F","High School","Single"
"5850",2578,"$40K - $60K",49,89,44,"F","College","Married"
"5851",4068,"$40K - $60K",44,83,30,"F","Graduate","Married"
"5857",1665,"Less than $40K",57,86,50,"F","Graduate","Married"
"5860",2012,"Less than $40K",52,68,42,"F","Graduate","Married"
"5861",2837,"Less than $40K",43,83,31,"F","Post-Graduate","Married"
"5862",1709,"Less than $40K",40,79,28,"F","Graduate","Single"
"5865",24028,"$80K - $120K",51,73,44,"M","Uneducated","Married"
"5868",9124,"$80K - $120K",40,65,34,"M","Uneducated","Single"
"5870",1936,"Less than $40K",56,70,36,"F","Graduate","Single"
"5871",8051,"$80K - $120K",49,83,41,"M","High School","Married"
"5872",3635,"$40K - $60K",36,62,36,"F","Graduate","Married"
"5873",2532,"Less than $40K",46,71,37,"F","High School","Married"
"5877",1830,"Less than $40K",45,71,33,"F","Uneducated","Married"
"5878",7607,"$120K +",37,77,23,"M","Uneducated","Married"
"5880",1438.3,"Less than $40K",49,84,40,"F","High School","Single"
"5881",3126,"$60K - $80K",41,74,28,"M","High School","Single"
"5882",6885,"$40K - $60K",47,67,27,"F","Post-Graduate","Single"
